--------- beginning of crash
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-commit-id:722d4d057786ee46754f9b77939cdc75d12fa06f
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-change-id:I4573b37dc671335b64083430a22026f187852e25
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-merge-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.373  1212  1317 I libGLES_mali: mtk-brm-commit-id:b8cb4240da48dc7bb5e0797774fab31af08ef59d
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-change-id:Iba9e1f53e8a0b631534505f1ee6bc05742c31af5
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-merge-id:none
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-commit-id:8783a29bae0ae84a456239f3212f27bdafa94c91
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-change-id:Iee598bb542f5de895a4b71649fbc79b2d93bc3de
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-merge-id:none
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:56.922  1437  1437 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-merge-id:none
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-commit-id:9504ca4d9fe90b18cc868bffca3317a0b06d4f0e
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-change-id:I1329c9c99dd4a140cd413bfc9aec757077413c57
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-merge-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 18:09:01.103  5976  5976 E AndroidRuntime: FATAL EXCEPTION: main
07-11 18:09:01.103  5976  5976 E AndroidRuntime: Process: com.zarz.spotiflac, PID: 5976
07-11 18:09:01.103  5976  5976 E AndroidRuntime: java.lang.RuntimeException: Unable to stop service com.ryanheise.audioservice.AudioService@a52b5e0: java.lang.RuntimeException: Cannot execute operation because FlutterJNI is not attached to native.
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.handleStopService(ActivityThread.java:5239)
07-11 20:30:24.183  1861  1953 W ForegroundServiceTypeLoggerModule: FGS stop call for: 10252 has no types!
07-11 20:30:24.191  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:28.627  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:28.645  1861  2393 I WindowManager: Relayout Window{9a23fdd u0 NotificationShade}: oldVis=4 newVis=0 focusMayChange = true requestedWidth = 720 requestedHeight = 1604 outFrames = ClientWindowFrames{frame=[0,0][720,1604] display=[0,0][720,1604] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=NotificationShade)/@0x9ab16e5
07-11 20:30:28.767  1861  2605 W WindowManager: Changing focus from Window{25e94ba u0 com.instagram.android/com.instagram.android.activity.MainTabActivity} to Window{9a23fdd u0 NotificationShade} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
07-11 20:30:29.226  1861  2605 W NotificationHistory: Attempted to add notif for locked/gone/disabled user 0
07-11 20:30:29.719  1861  1885 I DisplayDeviceRepository: Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:4627039422300187648", 720 x 1604, modeId 1, renderFrameRate 60.0, defaultModeId 1, userPreferredModeId -1, supportedModes [{id=1, width=720, height=1604, fps=60.0, vsync=60.0, synthetic=false, alternativeRefreshRates=[90.0], supportedHdrTypes=[]}, {id=2, width=720, height=1604, fps=90.0, vsync=90.0, synthetic=false, alternativeRefreshRates=[60.0], supportedHdrTypes=[]}], colorMode 0, supportedColorModes [0], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[], mMaxLuminance=500.0, mMaxAverageLuminance=500.0, mMinLuminance=0.0}, allmSupported false, gameContentTypeSupported false, density 280, 268.9412 x 268.0368 dpi, appVsyncOff 2400001, presDeadline 28600000, cutout DisplayCutout{insets=Rect(0, 70 - 0, 0) waterfall=Insets{left=0, top=0, right=0, bottom=0} boundingRect={Bounds=[Rect(0, 0 - 0, 0), Rect(336, 0 - 384, 70), Rect(0, 0 - 0, 0), Rect(0, 0 - 0, 0)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=720 displayHeight=1604 physicalDisplayWidth=720 physicalDisplayHeight=1604 density={1.75} cutoutSpec={M -24,0 L 24,0 L 24,70 L -24,70 Z} rotation={0} scale={1.0} physicalPixelDisplaySizeRatio={1.0}}} sideOverrides={}}, touch INTERNAL, rotation 0, type INTERNAL, address {port=0, model=0x40368bd6e7ee6c}, deviceProductInfo DeviceProductInfo{name=MTKDEV, manufacturerPnpId=MTK, productId=35638, modelYear=null, manufactureDate=ManufactureDate{week=42, year=2021}, connectionToSinkType=0}, state ON, committedState ON, frameRateOverride , brightnessMinimum 0.0, brightnessMaximum 1.0, brightnessDefault 0.4685039, hdrSdrRatio NaN, FLAG_ALLOWED_TO_BE_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, FLAG_TRUSTED, installOrientation 0, displayShape DisplayShape{ spec=-757940771 displayWidth=720 displayHeight=1604 physicalPixelDisplaySizeRatio=1.0 rotation=0 offsetX=0 offsetY=0 scale=1.0}}
07-11 20:30:32.014  1861  2605 W WindowManager: Changing focus from Window{9a23fdd u0 NotificationShade} to Window{25e94ba u0 com.instagram.android/com.instagram.android.activity.MainTabActivity} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
07-11 20:30:32.018  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:32.076  1861  2393 W PackageConfigPersister: App-specific configuration not found for packageName: com.instagram.android and userId: 0
07-11 20:30:32.178  1861  2605 W ActivityManager: Permission Denial: get/set setting for user asks to run as user -2 but is calling from uid u0a288; this requires android.permission.INTERACT_ACROSS_USERS_FULL
07-11 20:30:32.235  1861  2393 I WindowManager: Relayout Window{21b157d u0 com.jamworks.dynamicspot}: oldVis=8 newVis=0 focusMayChange = true requestedWidth = 276 requestedHeight = 78 outFrames = ClientWindowFrames{frame=[222,1][498,79] display=[-100000,-100000][100000,100000] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=)/@0x8de5035
07-11 20:30:32.281  1861  1885 I DisplayDeviceRepository: Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:4627039422300187648", 720 x 1604, modeId 1, renderFrameRate 60.0, defaultModeId 1, userPreferredModeId -1, supportedModes [{id=1, width=720, height=1604, fps=60.0, vsync=60.0, synthetic=false, alternativeRefreshRates=[90.0], supportedHdrTypes=[]}, {id=2, width=720, height=1604, fps=90.0, vsync=90.0, synthetic=false, alternativeRefreshRates=[60.0], supportedHdrTypes=[]}], colorMode 0, supportedColorModes [0], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[], mMaxLuminance=500.0, mMaxAverageLuminance=500.0, mMinLuminance=0.0}, allmSupported false, gameContentTypeSupported false, density 280, 268.9412 x 268.0368 dpi, appVsyncOff 2400001, presDeadline 28600000, cutout DisplayCutout{insets=Rect(0, 70 - 0, 0) waterfall=Insets{left=0, top=0, right=0, bottom=0} boundingRect={Bounds=[Rect(0, 0 - 0, 0), Rect(336, 0 - 384, 70), Rect(0, 0 - 0, 0), Rect(0, 0 - 0, 0)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=720 displayHeight=1604 physicalDisplayWidth=720 physicalDisplayHeight=1604 density={1.75} cutoutSpec={M -24,0 L 24,0 L 24,70 L -24,70 Z} rotation={0} scale={1.0} physicalPixelDisplaySizeRatio={1.0}}} sideOverrides={}}, touch INTERNAL, rotation 0, type INTERNAL, address {port=0, model=0x40368bd6e7ee6c}, deviceProductInfo DeviceProductInfo{name=MTKDEV, manufacturerPnpId=MTK, productId=35638, modelYear=null, manufactureDate=ManufactureDate{week=42, year=2021}, connectionToSinkType=0}, state ON, committedState ON, frameRateOverride {uid=10288 frameRateHz=60.0} , brightnessMinimum 0.0, brightnessMaximum 1.0, brightnessDefault 0.4685039, hdrSdrRatio NaN, FLAG_ALLOWED_TO_BE_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, FLAG_TRUSTED, installOrientation 0, displayShape DisplayShape{ spec=-757940771 displayWidth=720 displayHeight=1604 physicalPixelDisplaySizeRatio=1.0 rotation=0 offsetX=0 offsetY=0 scale=1.0}}
07-11 20:30:32.701  1861  2605 I ActivityManager: Process com.google.android.projection.gearhead:shared (pid 16367) has died: cch+45 CEM 
07-11 20:30:34.320  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:34.326  1861  1953 I WindowManager: Relayout Window{9a23fdd u0 NotificationShade}: oldVis=4 newVis=0 focusMayChange = true requestedWidth = 720 requestedHeight = 1604 outFrames = ClientWindowFrames{frame=[0,0][720,1604] display=[0,0][720,1604] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=NotificationShade)/@0x3cd6b70
07-11 20:30:34.393  1861  2393 W WindowManager: Changing focus from Window{25e94ba u0 com.instagram.android/com.instagram.android.activity.MainTabActivity} to Window{9a23fdd u0 NotificationShade} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
07-11 20:30:35.383  1861  1885 I DisplayDeviceRepository: Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:4627039422300187648", 720 x 1604, modeId 1, renderFrameRate 60.0, defaultModeId 1, userPreferredModeId -1, supportedModes [{id=1, width=720, height=1604, fps=60.0, vsync=60.0, synthetic=false, alternativeRefreshRates=[90.0], supportedHdrTypes=[]}, {id=2, width=720, height=1604, fps=90.0, vsync=90.0, synthetic=false, alternativeRefreshRates=[60.0], supportedHdrTypes=[]}], colorMode 0, supportedColorModes [0], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[], mMaxLuminance=500.0, mMaxAverageLuminance=500.0, mMinLuminance=0.0}, allmSupported false, gameContentTypeSupported false, density 280, 268.9412 x 268.0368 dpi, appVsyncOff 2400001, presDeadline 28600000, cutout DisplayCutout{insets=Rect(0, 70 - 0, 0) waterfall=Insets{left=0, top=0, right=0, bottom=0} boundingRect={Bounds=[Rect(0, 0 - 0, 0), Rect(336, 0 - 384, 70), Rect(0, 0 - 0, 0), Rect(0, 0 - 0, 0)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=720 displayHeight=1604 physicalDisplayWidth=720 physicalDisplayHeight=1604 density={1.75} cutoutSpec={M -24,0 L 24,0 L 24,70 L -24,70 Z} rotation={0} scale={1.0} physicalPixelDisplaySizeRatio={1.0}}} sideOverrides={}}, touch INTERNAL, rotation 0, type INTERNAL, address {port=0, model=0x40368bd6e7ee6c}, deviceProductInfo DeviceProductInfo{name=MTKDEV, manufacturerPnpId=MTK, productId=35638, modelYear=null, manufactureDate=ManufactureDate{week=42, year=2021}, connectionToSinkType=0}, state ON, committedState ON, frameRateOverride , brightnessMinimum 0.0, brightnessMaximum 1.0, brightnessDefault 0.4685039, hdrSdrRatio NaN, FLAG_ALLOWED_TO_BE_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, FLAG_TRUSTED, installOrientation 0, displayShape DisplayShape{ spec=-757940771 displayWidth=720 displayHeight=1604 physicalPixelDisplaySizeRatio=1.0 rotation=0 offsetX=0 offsetY=0 scale=1.0}}
07-11 20:30:35.494  1861  7174 W WindowManager: Changing focus from Window{9a23fdd u0 NotificationShade} to Window{25e94ba u0 com.instagram.android/com.instagram.android.activity.MainTabActivity} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
07-11 20:30:35.500  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:35.575  1861  1953 W PackageConfigPersister: App-specific configuration not found for packageName: com.instagram.android and userId: 0
07-11 20:30:36.258  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:36.267  1861  2393 I WindowManager: Relayout Window{9a23fdd u0 NotificationShade}: oldVis=4 newVis=0 focusMayChange = true requestedWidth = 720 requestedHeight = 1604 outFrames = ClientWindowFrames{frame=[0,0][720,1604] display=[0,0][720,1604] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=NotificationShade)/@0xcfb8bc7
07-11 20:30:36.301  1861  2393 W WindowManager: Changing focus from Window{25e94ba u0 com.instagram.android/com.instagram.android.activity.MainTabActivity} to Window{9a23fdd u0 NotificationShade} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
07-11 20:30:37.038  1861  2605 W BatteryExternalStatsWorker: error reading Bluetooth stats: 11
07-11 20:30:37.457  1861  4599 W PackageConfigPersister: App-specific configuration not found for packageName: com.android.systemui and userId: 0
07-11 20:30:37.469  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:37.470  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:37.606  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:37.623  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:37.634  1861  4599 I WindowManager: Relayout Window{b6a782a u0 InputMethod}: oldVis=8 newVis=0 focusMayChange = true requestedWidth = 720 requestedHeight = 1534 outFrames = ClientWindowFrames{frame=[0,70][720,1604] display=[0,70][720,1604] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=InputMethod)/@0xa5d0631
07-11 20:30:37.655  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:37.658  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.278  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.632  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.633  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.648  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.656  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.754  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.756  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:46.860  1861  1953 W ActivityManager: Permission Denial: get/set setting for user asks to run as user -2 but is calling from uid u0a288; this requires android.permission.INTERACT_ACROSS_USERS_FULL
07-11 20:30:48.124  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:48.153  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:48.357  1861  2528 W WindowManager: Changing focus from Window{9a23fdd u0 NotificationShade} to Window{25e94ba u0 com.instagram.android/com.instagram.android.activity.MainTabActivity} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
07-11 20:30:48.366  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:48.408  1861  4314 W PackageConfigPersister: App-specific configuration not found for packageName: com.instagram.android and userId: 0
07-11 20:30:51.867  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:51.868  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:52.711  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:52.713  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.437  1861  1861 I CDM_DevicePresenceProcessor: onBluetoothCompanionDeviceDisconnected associationId( 1 )
07-11 20:30:58.439  1861  1861 I CDM_BleDeviceProcessor: startBleScan()
07-11 20:30:58.439  1861  1861 W CDM_BleDeviceProcessor: Scan is already in progress.
07-11 20:30:58.439  1861  1861 I CDM_DevicePresenceProcessor: onDevicePresenceEvent() id=[1], event=[3]...
07-11 20:30:58.439  1861  1861 I CDM_DevicePresenceProcessor: notifyCompanionDevicePresenceEvent userId=[0], packageName=[com.huawei.health], event=[ObservingDevicePresenceResult { Association Id= 1,ParcelUuid= null,Event= 3}]...
07-11 20:30:58.440  1861  1861 I CDM_DevicePresenceProcessor: legacyNotifyDevicePresenceEvent() association=[id=1, addr=88:8E:68:A3:11:C8, pkg=u0/com.huawei.health], isAppeared=[false]
07-11 20:30:58.440  1861  1861 I CDM_CompanionAppBinder: Unbinding user=[0], package=[com.huawei.health]...
07-11 20:30:58.456  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.456  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.479  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.489  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.492  1861  1897 I ActivityManager: Start proc 17282:com.google.android.projection.gearhead:shared/u0a130 for broadcast {com.google.android.projection.gearhead/com.google.android.apps.auto.components.connectivity.impl.ConnectivityEventHandlerImpl$ConnectivityEventBroadcastReceiver}
07-11 20:30:58.501  1861  1991 E WindowManager: Display reconfigured outside of a transition: Display{#0 state=ON size=720x1604 ROTATION_0}
07-11 20:30:58.526  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.531  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.552  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.556  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.563  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.564  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.565  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.600  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.601  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.606  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.699  1861  7174 W ActivityManager: Foreground service started from background can not have location/camera/microphone access: service com.huawei.health/com.huawei.hwservicesmgr.PhoneService
07-11 20:30:58.713  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.725  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.740  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.752  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.888  1861  4599 I ActivityManager: Flag disabled. Ignoring finishAttachApplication from uid: 10130. pid: 17282
07-11 20:30:58.933  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:30:58.937  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:05.612  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:05.618  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:18.606  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:18.935  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:34.229  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:34.230  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:34.284  1861  2605 W ActivityManager: Foreground service started from background can not have location/camera/microphone access: service com.huawei.health/com.huawei.hwservicesmgr.PhoneService
07-11 20:31:34.289  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:34.297  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:34.301  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:34.307  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.317  1861  1861 I CDM_DevicePresenceProcessor: onBluetoothCompanionDeviceConnected: associationId( 1 )
07-11 20:31:35.318  1861  1861 I CDM_DevicePresenceProcessor: onBluetoothCompanionDeviceConnected: associationId( 1 )
07-11 20:31:35.318  1861  1861 I CDM_DevicePresenceProcessor: onDevicePresenceEvent() id=[1], event=[2]...
07-11 20:31:35.318  1861  1861 I CDM_CompanionAppBinder: Binding user=[0], package=[com.huawei.health], isSelfManaged=[false]...
07-11 20:31:35.318  1861  1861 I CDM_DevicePresenceProcessor: notifyCompanionDevicePresenceEvent userId=[0], packageName=[com.huawei.health], event=[ObservingDevicePresenceResult { Association Id= 1,ParcelUuid= null,Event= 2}]...
07-11 20:31:35.318  1861  1861 I CDM_DevicePresenceProcessor: legacyNotifyDevicePresenceEvent() association=[id=1, addr=88:8E:68:A3:11:C8, pkg=u0/com.huawei.health], isAppeared=[true]
07-11 20:31:35.318  1861  1861 I CDM_DevicePresenceProcessor: The BLE scan cannot be stopped, device( 1 ) is not yet connected OR the BLE is not current present Or is pending to report BLE lost
07-11 20:31:35.319  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.383  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.383  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.388  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.390  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.408  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.439  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.439  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:35.705  1861  1991 E WindowManager: Display reconfigured outside of a transition: Display{#0 state=ON size=720x1604 ROTATION_0}
07-11 20:31:35.815  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.239  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.259  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.262  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.272  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.275  1861  1883 E ApplicationHelper: Fail to get PackageManager
